epoch,time_completed,log_loss,accuracy,auc,precision,recall,f1
1,2019-08-12 15:07:43,0.6554664609489219,0.7921912576036214,0.6752796274073208,0.6843480299728258,0.575518810761953,0.5828015181736373
2,2019-08-12 15:07:59,0.6247371434996769,0.7940302730230584,0.6988080951824673,0.7002656623707679,0.5615544912073273,0.5612491133300594
3,2019-08-12 15:08:15,0.5995366175477584,0.7945961239213467,0.7111655085094758,0.7296249924938449,0.5451220519501054,0.5320364939196861
4,2019-08-12 15:08:31,0.5791401766258515,0.7940302730230584,0.711483986987104,0.7296890595497689,0.5426322204876414,0.5275496114807796
5,2019-08-12 15:08:47,0.5612961323540523,0.7978497665865044,0.716231428480401,0.7528423758808427,0.5502731079794257,0.5401150722881435
6,2019-08-12 15:09:03,0.546351420907189,0.7964351393407837,0.719591559317354,0.7437825477266178,0.5477147192752048,0.5360022022387755
7,2019-08-12 15:09:19,0.5338961526568126,0.7978497665865044,0.7243810083460478,0.756087774217855,0.5493269944434415,0.5383341100430648
8,2019-08-12 15:09:35,0.5230516064266518,0.7982741547602207,0.7299177431097613,0.7615500284483459,0.5493612730643199,0.5381841708182653
9,2019-08-12 15:09:51,0.5138052801487891,0.7978497665865044,0.7322993697689704,0.7642972020763733,0.5471982389874768,0.5342660183755035
10,2019-08-12 15:10:06,0.5054821425932674,0.7985570802093648,0.734426237245816,0.7696176532893344,0.5483591691475892,0.536123049517536
11,2019-08-12 15:10:22,0.4987965037490003,0.797000990239072,0.7350897439074324,0.7537117903930131,0.5468931533617238,0.534136719740436
12,2019-08-12 15:10:38,0.49220935156531204,0.7965766020653557,0.7387447534830265,0.7515945498209526,0.5459127612048611,0.5324785335756328
13,2019-08-12 15:10:54,0.48707161369275165,0.7967180647899279,0.7405844711357493,0.7531726086109487,0.5460030302064859,0.5325751944180435
14,2019-08-12 15:11:10,0.4825430214489378,0.7960107511670674,0.743435555602755,0.7495473791794423,0.5443690432783813,0.5297985146916371
15,2019-08-12 15:11:25,0.4782317810394012,0.7975668411373603,0.7442034911093883,0.7619617446187676,0.5467811726002311,0.5336141863508366
16,2019-08-12 15:11:41,0.474438562729956,0.7984156174847927,0.7447111804943437,0.764994318036722,0.5489784852979526,0.5373831537492133
17,2019-08-12 15:11:58,0.47150924727099336,0.7991229311076531,0.7466334972335206,0.773206133256809,0.5494298303060768,0.5378789050645405
18,2019-08-12 15:12:14,0.46831471254172463,0.8009619465270901,0.7479473537022681,0.7820070486117597,0.5534416679351526,0.544558756627391
19,2019-08-12 15:12:30,0.4656635789825937,0.8011034092516622,0.7494059945697001,0.7825706256030678,0.5537684653207735,0.5451033990097099
20,2019-08-12 15:12:46,0.4635580072229764,0.8012448719762343,0.7504476870485812,0.7810300884568544,0.5545683194743866,0.5465270523542713
